venta_id,fecha,producto_id,cantidad,precio_unitario,cliente_id,vendedor,total_venta,nombre,categoria,marca,precio_base,stock,porcentaje_descuento,tiene_descuento,fecha_parsed
1000,2025-10-10,P008,1,187578.06,C038,Luis Martínez,187578.06,Hub USB-C Anker,Accesorios,Anker,180000.0,150.0,-4.210033333333333,False,2025-10-10
1001,2025-10-04,P008,2,176311.4,C488,Luis Martínez,352622.8,Hub USB-C Anker,Accesorios,Anker,180000.0,150.0,2.0492222222222254,True,2025-10-04
1002,2025-10-23,P004,2,6004279.57,N/A,Juan Pérez,12008559.14,PC Gamer Asus ROG,Computadoras,Asus,6000000.0,15.0,-0.07132616666667163,False,2025-10-23
1003,2025-10-07,P013,1,446919.4,N/A,Pedro Gómez,446919.4,Auriculares Gaming HyperX,Audio,HyperX,450000.0,90.0,0.6845777777777726,True,2025-10-07
1004,2025-10-09,P010,1,819189.63,C239,Luis Martínez,819189.63,"Monitor Samsung 24"" Curvo",Pantallas,Samsung,800000.0,60.0,-2.3987037500000006,False,2025-10-09
1005,2025-09-30,P020,1,1310865.37,N/A,Pedro Gómez,1310865.37,Silla Gaming DXRacer,Gaming,DXRacer,1300000.0,20.0,-0.8357976923077008,False,2025-09-30
1006,2025-10-13,P017,2,2371485.73,N/A,Pedro Gómez,4742971.46,Xbox Series X,Gaming,Microsoft,2400000.0,30.0,1.188094583333334,True,2025-10-13
1007,2025-10-20,P002,2,1795085.42,N/A,Juan Pérez,3590170.84,Laptop HP Pavilion 14,Computadoras,HP,1800000.0,35.0,0.27303222222222634,True,2025-10-20
1008,2025-10-01,P017,3,2066419.01,C108,Luis Martínez,6199257.03,Xbox Series X,Gaming,Microsoft,2400000.0,30.0,13.899207916666667,True,2025-10-01
1009,2025-10-05,P015,2,686255.28,C137,María López,1372510.56,Micrófono Blue Yeti,Audio,Blue,680000.0,35.0,-0.919894117647063,False,2025-10-05
1010,2025-10-11,P019,1,288541.57,N/A,Juan Pérez,288541.57,Control Xbox Wireless,Gaming,Microsoft,280000.0,100.0,-3.0505607142857167,False,2025-10-11
1011,2025-10-18,P015,1,683586.72,C026,Juan Pérez,683586.72,Micrófono Blue Yeti,Audio,Blue,680000.0,35.0,-0.5274588235294076,False,2025-10-18
1012,2025-10-08,P014,1,529251.64,N/A,Juan Pérez,529251.64,Bocinas Logitech Z623,Audio,Logitech,550000.0,40.0,3.7724290909090885,True,2025-10-08
1013,2025-10-12,P003,3,3985905.29,C046,Juan Pérez,11957715.870000001,MacBook Air M2,Computadoras,Apple,4500000.0,20.0,11.424326888888887,True,2025-10-12
1014,2025-10-06,P003,2,4605202.92,C281,Luis Martínez,9210405.84,MacBook Air M2,Computadoras,Apple,4500000.0,20.0,-2.337842666666665,False,2025-10-06
1015,2025-10-19,P019,1,278016.01,C264,Ana Rodríguez,278016.01,Control Xbox Wireless,Gaming,Microsoft,280000.0,100.0,0.7085678571428538,True,2025-10-19
1016,2025-10-04,P009,1,1152115.15,C058,Juan Pérez,1152115.15,"Monitor LG 27"" 4K",Pantallas,LG,1200000.0,45.0,3.9904041666666745,True,2025-10-04
1017,2025-10-06,P020,1,1248268.23,N/A,Luis Martínez,1248268.23,Silla Gaming DXRacer,Gaming,DXRacer,1300000.0,20.0,3.979366923076925,True,2025-10-06
1018,2025-10-26,P013,2,436851.73,N/A,Pedro Gómez,873703.46,Auriculares Gaming HyperX,Audio,HyperX,450000.0,90.0,2.9218377777777818,True,2025-10-26
1019,2025-10-26,P002,1,1859853.02,N/A,Pedro Gómez,1859853.02,Laptop HP Pavilion 14,Computadoras,HP,1800000.0,35.0,-3.3251677777777786,False,2025-10-26
1020,2025-10-26,P012,2,979073.69,C473,María López,1958147.38,Auriculares Sony WH-1000XM5,Audio,Sony,1100000.0,70.0,10.993300909090914,True,2025-10-26
1021,2025-10-04,P020,2,1305823.93,C034,Luis Martínez,2611647.86,Silla Gaming DXRacer,Gaming,DXRacer,1300000.0,20.0,-0.4479946153846104,False,2025-10-04
1022,2025-10-08,P017,2,2415457.37,C492,Juan Pérez,4830914.74,Xbox Series X,Gaming,Microsoft,2400000.0,30.0,-0.644057083333338,False,2025-10-08
1023,2025-10-15,P001,1,1052985.13,C095,Pedro Gómez,1052985.13,Laptop Dell Inspiron 15,Computadoras,Dell,1500000.0,50.0,29.800991333333343,True,2025-10-15
1024,2025-10-02,P002,1,1880299.13,C491,María López,1880299.13,Laptop HP Pavilion 14,Computadoras,HP,1800000.0,35.0,-4.461062777777772,False,2025-10-02
1025,2025-10-25,P003,1,4589231.47,N/A,Pedro Gómez,4589231.47,MacBook Air M2,Computadoras,Apple,4500000.0,20.0,-1.9829215555555497,False,2025-10-25
1026,2025-10-18,P002,4,1853185.69,N/A,Pedro Gómez,7412742.76,Laptop HP Pavilion 14,Computadoras,HP,1800000.0,35.0,-2.954760555555552,False,2025-10-18
1027,2025-10-01,P009,3,1241942.52,N/A,Juan Pérez,3725827.56,"Monitor LG 27"" 4K",Pantallas,LG,1200000.0,45.0,-3.4952100000000015,False,2025-10-01
1028,2025-10-30,P018,5,1676867.99,C192,Luis Martínez,8384339.95,Nintendo Switch OLED,Gaming,Nintendo,1600000.0,50.0,-4.8042493749999995,False,2025-10-30
1029,2025-10-29,P006,1,639123.3,C044,Luis Martínez,639123.3,Teclado Mecánico Corsair K95,Accesorios,Corsair,650000.0,80.0,1.6733384615384543,True,2025-10-29
1030,2025-10-05,P014,1,533661.36,C005,Pedro Gómez,533661.36,Bocinas Logitech Z623,Audio,Logitech,550000.0,40.0,2.9706618181818207,True,2025-10-05
1031,2025-10-14,P015,1,498200.16,N/A,Juan Pérez,498200.16,Micrófono Blue Yeti,Audio,Blue,680000.0,35.0,26.7352705882353,True,2025-10-14
1032,2025-10-04,P014,1,546704.8,C151,Luis Martínez,546704.8,Bocinas Logitech Z623,Audio,Logitech,550000.0,40.0,0.5991272727272643,True,2025-10-04
1033,2025-10-30,P004,5,5724300.55,C163,Ana Rodríguez,28621502.75,PC Gamer Asus ROG,Computadoras,Asus,6000000.0,15.0,4.594990833333337,True,2025-10-30
1034,2025-10-19,P011,1,1463088.78,N/A,Ana Rodríguez,1463088.78,Monitor Gaming Asus 144Hz,Pantallas,Asus,1500000.0,30.0,2.460747999999998,True,2025-10-19
1035,2025-10-03,P014,1,562352.72,C489,Ana Rodríguez,562352.72,Bocinas Logitech Z623,Audio,Logitech,550000.0,40.0,-2.2459490909090856,False,2025-10-03
1036,2025-10-08,P011,3,1523735.93,C370,Juan Pérez,4571207.79,Monitor Gaming Asus 144Hz,Pantallas,Asus,1500000.0,30.0,-1.582395333333329,False,2025-10-08
1037,2025-10-03,P014,1,562611.06,C379,Ana Rodríguez,562611.06,Bocinas Logitech Z623,Audio,Logitech,550000.0,40.0,-2.2929200000000103,False,2025-10-03
1038,2025-10-18,P012,2,1047468.9,C016,Luis Martínez,2094937.8,Auriculares Sony WH-1000XM5,Audio,Sony,1100000.0,70.0,4.775554545454543,True,2025-10-18
1039,2025-10-26,P005,2,340412.38,C013,María López,680824.76,Mouse Logitech MX Master 3,Accesorios,Logitech,350000.0,200.0,2.7393199999999984,True,2025-10-26
1040,2025-10-03,P007,2,288193.48,N/A,Ana Rodríguez,576386.96,Webcam Logitech C920,Accesorios,Logitech,280000.0,120.0,-2.9262428571428507,False,2025-10-03
1041,2025-10-02,P003,1,4313603.44,N/A,Pedro Gómez,4313603.44,MacBook Air M2,Computadoras,Apple,4500000.0,20.0,4.142145777777769,True,2025-10-02
1042,2025-10-04,P018,2,1643528.18,N/A,Luis Martínez,3287056.36,Nintendo Switch OLED,Gaming,Nintendo,1600000.0,50.0,-2.720511249999996,False,2025-10-04
1043,2025-10-28,P001,2,1569943.98,C365,Ana Rodríguez,3139887.96,Laptop Dell Inspiron 15,Computadoras,Dell,1500000.0,50.0,-4.662931999999999,False,2025-10-28
1044,2025-10-25,P003,1,4679823.81,C028,Luis Martínez,4679823.81,MacBook Air M2,Computadoras,Apple,4500000.0,20.0,-3.9960846666666576,False,2025-10-25
1045,2025-10-26,P012,1,1138313.5,C120,Pedro Gómez,1138313.5,Auriculares Sony WH-1000XM5,Audio,Sony,1100000.0,70.0,-3.4830454545454548,False,2025-10-26
1046,2025-10-30,P015,2,574178.02,N/A,Luis Martínez,1148356.04,Micrófono Blue Yeti,Audio,Blue,680000.0,35.0,15.562055882352938,True,2025-10-30
1047,2025-10-10,P010,2,836896.88,N/A,Pedro Gómez,1673793.76,"Monitor Samsung 24"" Curvo",Pantallas,Samsung,800000.0,60.0,-4.61211,False,2025-10-10
1048,2025-10-07,P017,4,2481819.0,C078,Luis Martínez,9927276.0,Xbox Series X,Gaming,Microsoft,2400000.0,30.0,-3.4091249999999995,False,2025-10-07
1049,2025-10-17,P001,1,1279977.07,C376,Ana Rodríguez,1279977.07,Laptop Dell Inspiron 15,Computadoras,Dell,1500000.0,50.0,14.668195333333328,True,2025-10-17
1050,2025-10-16,P010,1,779946.54,C224,María López,779946.54,"Monitor Samsung 24"" Curvo",Pantallas,Samsung,800000.0,60.0,2.5066824999999953,True,2025-10-16
1051,2025-10-05,P017,1,2312710.18,N/A,Luis Martínez,2312710.18,Xbox Series X,Gaming,Microsoft,2400000.0,30.0,3.6370758333333266,True,2025-10-05
1052,2025-09-30,P009,2,1231718.78,C064,Ana Rodríguez,2463437.56,"Monitor LG 27"" 4K",Pantallas,LG,1200000.0,45.0,-2.643231666666669,False,2025-09-30
1053,2025-10-15,P003,1,4393737.53,N/A,Ana Rodríguez,4393737.53,MacBook Air M2,Computadoras,Apple,4500000.0,20.0,2.3613882222222164,True,2025-10-15
1054,2025-10-12,P018,1,1654025.31,C013,Juan Pérez,1654025.31,Nintendo Switch OLED,Gaming,Nintendo,1600000.0,50.0,-3.376581875000004,False,2025-10-12
1055,2025-10-14,P013,1,337828.42,N/A,María López,337828.42,Auriculares Gaming HyperX,Audio,HyperX,450000.0,90.0,24.92701777777778,True,2025-10-14
1056,2025-10-06,P006,1,650940.36,C229,Pedro Gómez,650940.36,Teclado Mecánico Corsair K95,Accesorios,Corsair,650000.0,80.0,-0.14467076923076708,False,2025-10-06
1057,2025-10-19,P005,1,338405.64,C467,Pedro Gómez,338405.64,Mouse Logitech MX Master 3,Accesorios,Logitech,350000.0,200.0,3.3126742857142815,True,2025-10-19
1058,2025-09-30,P020,1,1324095.54,C346,María López,1324095.54,Silla Gaming DXRacer,Gaming,DXRacer,1300000.0,20.0,-1.8535030769230798,False,2025-09-30
